---,Actor,Location,Rotation,Scale,Mesh,Materials
Row_25,Class'/Script/Engine.StaticMeshActor',"(X=-60000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_26,Class'/Script/Engine.StaticMeshActor',"(X=-30000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_27,Class'/Script/Engine.StaticMeshActor',"(X=0.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_28,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=-120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_29,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_30,Class'/Script/Engine.StaticMeshActor',"(X=-30000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_31,Class'/Script/Engine.StaticMeshActor',"(X=60000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_32,Class'/Script/Engine.StaticMeshActor',"(X=30000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_33,Class'/Script/Engine.StaticMeshActor',"(X=0.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_34,Class'/Script/Engine.StaticMeshActor',"(X=30000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_35,Class'/Script/Engine.StaticMeshActor',"(X=60000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_36,Class'/Script/Engine.StaticMeshActor',"(X=90000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_37,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_38,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_39,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_40,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_41,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_42,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_43,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_44,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_45,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_46,Class'/Script/Engine.StaticMeshActor',"(X=90000.000000,Y=30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_47,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=0.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_48,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_49,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_50,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_51,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_52,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_53,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_54,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_55,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_56,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=0.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_57,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_58,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=0.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_59,Class'/Script/Engine.StaticMeshActor',"(X=90000.000000,Y=0.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_60,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=-30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_61,Class'/Script/Engine.StaticMeshActor',"(X=150000.000000,Y=-180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_62,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_63,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_64,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_65,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_66,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_67,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=0.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_68,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_69,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=60000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_70,Class'/Script/Engine.StaticMeshActor',"(X=-120000.000000,Y=-180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_71,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=-30000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_72,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=-150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_73,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_74,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_75,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=150000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_76,Class'/Script/Engine.StaticMeshActor',"(X=150000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_77,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_78,Class'/Script/Engine.StaticMeshActor',"(X=90000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_79,Class'/Script/Engine.StaticMeshActor',"(X=60000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_80,Class'/Script/Engine.StaticMeshActor',"(X=30000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_81,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=330000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_82,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=300000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_83,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=270000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_84,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=240000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_85,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_86,Class'/Script/Engine.StaticMeshActor',"(X=330000.000000,Y=180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
